Min_Threshold1,Max_Threshold1,Min_Threshold2,Max_Threshold2,Min_Threshold3,Max_Threshold3,Min_Threshold4,Max_Threshold4,Min_Threshold5,Max_Threshold5,Min_Threshold6,Max_Threshold6,Min_Threshold7,Max_Threshold7,Min_Threshold8,Classification_Threshold
-1.535137374,5,-1.655416997,5.639346745,1,5,-1.407582575,5,1,5.025651779,1,6.972362005,1,6.728811042,-2.5,1.596096388
-1.297924502,5,-1.964001021,5.42318924,0.248704913,5.409080434,-0.984035958,5,0.027905014,6.406804805,1,6.251723058,0.448212577,7.558631944,-1.767650231,1.624349122
-1.123107434,5,-2.5,5.263889195,-0.304971635,5.710557504,-0.671897848,5,-0.68849285,7.424663237,1,5.720638946,0.04156576,8.170179098,-1.227935678,1.645170337
-0.805805168,9,-0.726391895,6.319414769,-1.526706859,8.202568088,0.346792427,8.023551859,-2.316077831,7.325460773,-0.397242564,6.158723591,0.014820579,8.722993239,1,3.999883034
-0.158211931,9,-0.354331001,7.680585231,-2.020933963,7.379899744,-0.327087292,7.171893239,-2.182660589,6.144618442,0.162745342,5.681131488,-0.976630012,8.437220009,1,2.968115235
-2.5,5,0.717035023,9,1,5,1,9,0.162912018,5,1,5,-2.5,7.881487946,0.536296577,3.14183539
-1.408223196,5,-1.655416997,5.639346745,1,5.016371697,-1.407582575,5,1,5,1,6.972362005,1,6.728811042,-2.5,1.596096388
-2.034322936,5.46555189,-1.811686181,5.49263708,0.957377052,5.818712502,-1.972760447,5,1,6.978556067,-0.402483608,5.825834997,0.689733384,6.406846052,-0.828670632,0.58424328
-2.000814438,5.434301097,-1.801196403,5.502485162,0.960238175,5.763755331,-1.934822127,5,1,7.104763566,-0.308340021,5.770399719,0.710560446,6.31240963,-0.940860851,0.62628339
-2.080803635,5.185035889,0.787663917,7.210375329,-1.378906013,6.160881157,0.768655309,8.560691659,-0.198170532,5,0.787663917,5.064346671,0.488950521,8.551549578,-1.885978665,0.303337261
-0.709634138,7.338883333,-2.287663917,8.847207429,0.846356685,5.074976325,-2.288891602,5.229969771,-0.163527587,5,-2.5,5.996299011,-0.01256362,8.971036515,0.728901941,4.696662739
-1.535137374,5,-1.655416997,5.639346745,1,5,-1.407582575,5,1,5.025651779,1,5,1,5,-2.5,1.210526671
-1.535137374,5,-1.865802944,5.639346745,1,5,-1.407582575,5,1,8.858704817,1,6.972362005,1,6.728811042,-2.5,1.596096388
0.376127109,8.085973128,-2.273109324,6.787988819,-0.132351098,5.629046439,-2.183691734,5.044376494,-1.919110296,5.870452876,-0.614949643,7.768035131,-1.876282562,8.896260312,0.674519563,2.765013976
-2.491973783,6.152575969,1,5.000924548,1,6.851147081,1,5.963006318,-1.467918389,5.006354396,-0.410837422,7.820872041,-2.494787302,7.371797877,0.984505318,0
0.548657539,9,0.44381835,5,0.823830245,5.310953855,1,5.925113343,-2.5,6.574047877,-0.940052105,5.580285103,-2.5,9,1,5
-1.535137374,5,-1.655416997,5.639346745,1,5,-1.407582575,5,1,5.025651779,1,6.972362005,1,6.728811042,-2.5,1.596096388
-0.917084165,5.076635386,-2.5,7.198310965,-1.962929958,7.012233133,-0.656141984,6.202382369,-0.415726986,5,0.493566565,5.553956183,-2.367327922,8.788584773,-0.151641638,1.565991435
-0.989176277,5.088403523,-2.5,6.921643447,-2.034423868,7.094509279,-0.791996717,6.102121536,-0.359370144,5,0.45546645,5.63594368,-2.384989018,8.756119833,-0.265950103,1.80646521
-0.447612476,5,0.44381835,5,0.823830245,6.476441899,0.22855884,5,-0.782728884,5,0.74167867,5.020044664,-2.252316941,9,0.592747544,0
0.548657539,9,-2.5,9,-1.497353826,5.310953855,1,5.925113343,-2.5,6.574047877,-0.940052105,5.580285103,-2.5,9,1,5
-1.372177905,5,1,5,-2.5,8.137450059,0.70919289,7.852069887,-1.766756589,6.195014569,1,5,-2.31523214,5.853668422,-1.010339286,3.61706271
0.548657539,9,0.44381835,5,0.823830245,5.310953855,1,5.925113343,-2.5,6.574047877,-0.940052105,5.580285103,-1.043774808,9,1,5
-0.752646068,5,-2.26310778,8.057389734,-0.796885443,6.062323219,-0.230353037,5,-0.282701533,5.00719492,0.814133732,5.567638904,-1.340093304,8.362967297,-0.274719392,0.447679878
-1.230103783,5,-1.892309216,6.581957011,0.299531616,5.41411868,-0.133908587,5,0.499972648,5.018456859,0.927544939,6.424767764,0.087776363,7.365843745,-1.632533063,1.14841651
-1.307165903,5,1,7.45426132,1,5,-0.37995141,5,-1.739329069,5.336603991,-1.414381329,9,-2.5,5.90656922,-1.311813279,0
-2.5,6.405329587,-1.074157763,5.186629026,1,6.823097143,0.224083747,5,-0.488453858,5,0.29024593,5,-0.870442814,5.116902476,-1.084341849,2.528427714
0.448016688,6.990915143,0.275587061,8.880947455,-1.699897494,6.512806474,0.091521916,7.122712824,-0.400745402,7.118117196,0.626536515,5.34460585,-1.593309167,6.449776257,0.86451736,1.522194997
0.451292988,7.297088091,0.234551771,8.899090377,-1.821828503,6.523422463,-0.071816781,7.004401186,-0.652590695,6.795328348,0.638578458,5.325340827,-1.653262155,6.710436992,0.885164133,1.590132845
-1.535137374,5,-1.655416997,5.639346745,1,5,-1.407582575,5,1,8.858704817,1,5,1,5,-2.5,1.210526671